review,sentiment
"Whatever rating I give BOOM is only because of the superb location photography of Sardinia and Rome. Otherwise, this is only for hardcore addicts of ELIZABETH TAYLOR (her downward phase), and RICHARD BURTON (his miscasting phase). Tennessee Williams wrote ""The Milk Train Doesn't Stop Here Anymore"" and is supposed to be very fond of this adaptation of his play--but apparently, he was the only one. Taylor reportedly hated it and Burton needed the money.<br /><br />Whatever, it amounts to a hill of beans with Taylor posturing and fuming in her shrill manner, exploding at the servants and exchanging bad baby-talk with no less than NOEL COWARD who seems to be a visitor from another film when he finally appears.<br /><br />It's so campy that among Taylor fans it's probably considered a ""must see"" kind of thing. But if you can sit through this one without a drink in your hand, you're way ahead of me. Sadly, this is the film that signified the end of Taylor being taken seriously as a film actress, even after winning two Oscars. For Burton, it was equally disastrous and the critics called it a BOMB. Judge for yourself if you dare.",negative
"Miscast, badly directed and atrociously written, this is watchable if you have an hour or two to kill or are suffering from insomnia, but only just. Robert Carlyle fully realises his potential as an actor of supreme mediocrity with only one expression to his repertoire (that of a chronically constipated football hooligan nursing a crippling inferiority complex), which he manages at times to alter slightly by flaring his nostrils and baring a row of skewed yellow teeth (this to indicate anger, tenderness, grief, surprise, horror, hilarity, compassion, etc.) In his role as ""the best marine engineer in the UK"" and son of a university professor he is about as convincing as my neighbour's cat. Tom Courtenay, equally miscast, slurring and mistiming every line, appears permanently soused to the eyeballs, and would seem no more able to tell a flood from a puddle of his own urine if he were standing in it. All in all, another silly attempt on the part of the British to imitate Hollywood pulp at its most rubbishy. The dialogue is a series of badly-delivered clichés; the action is disjointed; the plot is pointless and amputated; and the characters, if you can call them that, do not even make it into the basic two-dimensional sphere of their American counterparts.",negative
"This second film is just as interesting as the previous one except that there is no suspense. We know what he is going to do and what is going to happen before it is even hinted at on the screen. Then the pleasure comes only from the way the various tricks happen and the succession of them. We know there will be dynamite in the car, that he will lose a wheel, that the car will have a crash, just to speak of the car. And that is what happens. Now the details and the particulars are for you to discover them in the film. That he may be baited by some dumb woman is obvious and has to come but we know that he has already seen through her and that he knows he is being dragged into a trap. Now, how is he going to get out of it? That's what you must discover by yourself. And don't worry he will get the main trafficker but how is another story. A speed boat is no match to our busy beaver on the river. We also know when he is going to be wounded. They did not know what bullet-proof jackets were in those days. It's true recently it was discovered that some GIs did not have that kind of equipment in Iraq. But what is the meaning of such a film? This insistence on hunting the traffickers and this blindness that does not see that it is the prohibition that creates the problem. But the film is a constant and perfect illustration that there is no value what so ever that can stand in the way of this moralistic crusade against the forces of evil. Why not simply legalize these goods so that they can be properly observed and under surveillance? When something is not illegal or pushed out of the way it is all the less fun to use them, to do them. It is the forbidden or the restricted that is attractive.<br /><br />Dr Jacques COULARDEAU, University Paris Dauphine, University Paris 1 Pantheon Sorbonne & University Versailles Saint Quentin en Yvelines",positive
"This movie is really nothing besides an admittedly well-crafted series of tense sequences punctuated with an inevitable ""gotcha!"" at the end of each. Really, there is no character development and no real plot to speak of. There are only the most skeletal of motivations for the characters to do anything while they trudge forward to their unavoidable dooms. It's all just an excuse to show a creepy ghost kid (who seems to have gotten some of the family cat mixed up in his ectoplasm) and his ghost mom (with long black hair hanging in her face kind of like ""The Ring"") take down a bunch of cardboard cut-out, two-dimensional excuses for human characters.<br /><br />This English-language version of ""The Grudge"" is the equivalent of cinematic junk food; satisfying momentarily, but not really what you ought to be living on.<br /><br />Not recommended.",negative
"Diego Armando Maradona was, and still remains as the best football player, the game has offered. Not just an athlete, but an artist. This documetary if the 1986 World Cup will forever live in the memories of every football fan around the world. Because of his tremendous and unbelievable goal, which he scored against my own country(england). There's absolutely no point of diminishing this star. Although I dont undersand spanish, I can appreciate the argentine narrator. He actually cries of happiness, and can barely express his emotion..... Anything I wrote can be senseless and difficult to comprehend, but readers.....you have to watch this to know what I mean.",positive
"Definitely a very good idea,screenplay was just OK.Could have been better,The positives are that it doesn't bore you if you're an adventure lover,A new idea about the lost world of Atlantis.Negatives are that I personally feel that this idea had so much more potential than this.They should've ended up with a better adventure than this.It wasn't bad at all but it would have been much better with some more runtime.Enjoyed it a lot though,Cant say that it was boring or wasn't good..A good one for the people who like adventure animations like Sindbad,like The road to el Dorado.This movie is also recommended for people looking for a nice little adventure with a very nice happy ending.",positive
"Just saw it yesterday in the Sao Paulo Intl Film Festival. Just before going I came here to see how it was rated, and at that time it was 7.4, a pretty nice rate...<br /><br />After 15 minutes I was dying to get out (never did this), but felt embarrassed to do so as the producer of the movie was in the screening.<br /><br />I did not like at all, the dialogs are shallow and lead nowhere, the characters are shallower than the dialogs, nothing lead anywhere, and the worst and worst: plenty of Siemens and Organics advertising on the movie. Despite the fact that I already paid to go to the movie and entertain myself, I still have to be bombarded by the main character chatting on the internet and Siemens mobile popping-up all the time on her lap-top; or another character having a bath or cutting her hair just to have Organics shampoo displayed enormously on the screen! All of this would be bearable if the plot, characters, romances, anything was good, but was bad, really bad! A ""don't know how to do"" sex-in-the-city.<br /><br />Don't waste your time or money.",negative
"I went to see Random Hearts with 3 friends, and at first, I thought maybe it was just me who wasn't enjoying the movie. After all, I didn't like As Good As it Gets and that movie won all sorts of awards. Well, it wasn't just me...none of my friends liked it either. It was unbelievable slow, much like getting teeth pulled. The only action that is in the movie is what is in previews. We didn't walk out of the theatre because we all assumed something more would happen. We weren't as smart as the 7 or 8 people who did walk out. I have never walked out on a movie in my life, but I definitely should have. This is all tough for me to write, considering I am relatively easy to please when it comes to movies. It takes a lot for me to think a movie is awesome, but not much for me to just like it. This movie didn't even come close in the like category. Not only was the movie about 2 hours too long, but it was like two separate trite stories in one, but they weren't smoothly sewn together. Plus, the ""soundtrack"" if you could even call it that was so annoying. Like Seinfeld has the same riff that is played over and over again (difference being that i like Seinfeld)..this movie had this jazz riff that it kept playing, which sounded highly inappropriate at times, especially when people were dealing with the deaths of the plane crash. Hard to explain what I mean, but trust me it was awful. I cannot say enough to make people not waste their money. After I left the theatre, I honestly wanted to write to the movie company and demand my $7 back..sheeesh, I could have gone bowling or something for that money.",negative
"This is a great example of a good, dumb movie. No, it is not high art by any means. Nor is the script anywhere close to a Woody Allen or Mel Brooks. BUT SO WHAT! The Killer Tomatoes series (four movies and a cartoon series) are basically good-natured romps gleefully trampling on the kind of territory the Zuckers ruled before they switched to making serious flicks.<br /><br />As the title suggests, this fourth installment of the Killer Tomatoes trilogy deals with the Killer Tomatoes plot against France. In this case, Professor Gangrene (John Astin's 3rd time in the role) has a plan to rule France through an ancient prophecy about the return of the rightful King of France. Steve Lundquist returns as Igor, a humanoid tomato who wants to be a sportscaster and who just happens to be a dead ringer for the long-lost true King of France. Obviously he also plays the aforementioned l-l t K of F, happily skewering the French language.<br /><br />Opposing them is the fearless Fuzzy Tomato (like the others, FT was introduced in the second film and would be a main character in the cartoon) and his human allies. Mark Price, recently unemployed as a result of the conclusion of the FAMILY TIES series, plays a thinly disguised version of himself, passing himself as ""Michael J Fox"" as a way to win the girl of his dreams. And Angela Visser is a dream as Marie, gleefully bouncing between unabashed virginal sexuality and borderline psychosis. Oh that the former Miss Netherlands had had more of a film career! Another returning member of the Killer Tomatoes stock company is Rick Rockwell (now best known as the hapless title subject of ""Who Wants to Marry a Millionaire?""). Like co-creator John De Bello, Rockwell works both in front of and behind the camera in this series.<br /><br />What can you say about Jon De Bello? Not much, really, except that he had a singular vision and managed to pull it off and, having done that, has apparently dropped into obscurity. John, if you ever see this, thanks for giving us the Killer Tomatoes.<br /><br />The script is heavily but not obnoxiously aware that this is just a movie. Like RETURN OF THE KILLER TOMATOES, the action occasionally veers off the set and into the middle of the film crew. And Mark Price has a funny forum to complain about his own lack of success compared to his former costar Michael J Fox. This is the biggest budgeted of all the Killer Tomatoes flicks and is a nice send-off to the series. Okay, the show then moved to Fox Kids as a cartoon series (which was also quite clever), but cartoons just aren't the same.",positive
"Wow! An amazing, lost piece of Australiana AND a lost 70s glam-rock film rolled into one. This film warrants viewing simply to see what can be done with next to no budget but a lot of enthusiasm. As a retelling of the Oz story, the film borders on becoming too obvious but it is saved by it's eccentricities. The chance for a glimpse at how glam rock manifested in Australia will delight fans of the genre. This film used to be double featured with the Rocky Horror Picture Show, an indicator of the type of film that Oz is. While not as frivolous or well constructed as RHPS it's hard not to have fun with Oz.<br /><br />Surprisingly, Oz has aged well- perhaps a by-product of how determinedly set in the real Australia of 1976 it is. The passage of history shows that many of the ideas being explored would eventually enter the mainstream. The willingness of the film to give prominence to gay characters is notable, especially as it dates to the 'revolution' period for the Australian gay rights push.<br /><br />The performances range from flinchingly amateur to finely nuanced brilliance. The direction is lacking in subtlety and much of the dialogue may have benefited from an extra draft or two. Somehow, these flaws add to the appeal of the film which is mercifully unpretentious. Much like Australia in the 1970s this film has a certain naive charm.<br /><br />There are several connections to the original Australian stagings of the Rocky Horror Show which will keep obsessives on their toes.<br /><br />Oz is most certainly a minor classic and a potential cult favourite worthy of review. Laugh at the atrocious 70s fashion, swing along with the AusRock soundtrack, leave ANY expectations at the door and Oz is likely to delight.",positive
"Why bother to see this movie? It probably rates an award for being the worst career move of a major movie star since Clark Gable's laughable playing of an Irish patriot in Parnell.<br /><br />It's inconceivable that Bergman would choose both this movie and its director over a lucrative Hollywood career where she could choose among the finest scripts and directors being offered at that time. To begin with, there was no script to work with except a few notes. Then we are supposed to believe the polished Bergman as a poor refugee willing to do anything to be released from a refugee camp, including marriage to a poor Italian fisherman she doesn't even love. I read where Anna Magnani was the original choice for this part. If so, that made a lot more sense than to cast the luminous Bergman in such a proletarian part. But since she was in love with her director, common sense flew out the window.<br /><br />So she goes to live in this poor village where the men must toil to extract a meager living from the sea. A place she obviously hates to be and where she doesn't fit in.<br /><br />Her only friend is the village priest who knows she's not suited to the life of a poor fisherman's bride, but tells her that for the sake of love she must repress her true feelings of revulsion, and accept the poverty and despair she encounters each day. On top of all of this, there's this volcano always on the brink of erupting and drowning them all in hot lava. But like a true heroine, Bergman revolts against her misery by declaring war on just about everyone else in this dreary film. She even goes as far as trying to seduce the village priest, in a scene that would generate laughter if it were not so pathetic. Since her poor slob of a husband must lock her in a room to keep her from running away, she's forced to use her body to bribe a married man to take her off the island. To her, no sacrifice is too great; no man unapproachable if he is willing to help her to escape the island and her misery. I won't bother to tell you how this all ends. The no-script movie ending is as plausible as the rest of STROMBOLI. I even remember (from seeing it on late night TV) that it had two different endings! So be warned if you should feel brave enough to sit through this king-size turkey and catch the miscast Bergman. It led to her downfall in Hollywood for the next seven years and she was condemned for sleeping with her director while still married to Peter Lindstrom. None of the movies she made with this director(whom she later married) are noteworthy except as proof of a career gone berserk. I kid you not. It's pretty embarrassing.<br /><br />- - SoundTrack",negative
